material_id,formula_pretty,spacegroup_number,wyckoff_positions
mp-hamiu,Cs4Al3InSb16,6,"Cs:1a,Cs:1b,Cs:1a,Cs:1b,Al:1b,Al:1a,Al:1b,In:1a,Sb:1a,Sb:1b,Sb:1a,Sb:1b,Sb:1a,Sb:1b,Sb:1a,Sb:1b,Sb:1a,Sb:1b,Sb:1a,Sb:1b,Sb:1a,Sb:1b,Sb:1a,Sb:1b"
mp-hamiv,RbMnTe2O7,40,"Rb:2b,Mn:2b,Te:2b,Te:2b,O:2a,O:2b,O:2b,O:4c,O:4c"
mp-hamiw,Y16Al4Ir3Pd,160,"Y:1a,Y:3b,Y:3b,Y:3b,Y:3b,Y:3b,Al:1a,Al:3b,Ir:3b,Pd:1a"
mp-hamix,Rb3LuI6,84,"Rb:2a,Rb:4j,Lu:2c,I:8k,I:4j"
mp-hamiy,HgPt4Pb3O13,160,"Hg:1a,Pt:3b,Pt:1a,Pb:3b,O:3b,O:3b,O:3b,O:3b,O:1a"
mp-hamiz,Hf2Sc(AsRu)3,46,"Hf:2b,Hf:2b,Sc:2b,As:2b,As:4c,Ru:2a,Ru:4c"
mp-hamja,Na2Hg2(TeO4)3,14,"Na:4e,Hg:4e,Te:4e,Te:2c,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-hamjb,RbSc3Se5,62,"Rb:4c,Sc:4c,Sc:4c,Sc:4c,Se:4c,Se:4c,Se:4c,Se:4c,Se:4c"
mp-hamjc,TaRh(SeO3)4,14,"Ta:2c,Rh:2b,Se:4e,Se:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-hamjd,Cr2Co(SeO3)4,7,"Cr:2a,Cr:2a,Co:2a,Se:2a,Se:2a,Se:2a,Se:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a"
mp-hamje,Ca7Mn2NbN9,11,"Ca:4f,Ca:4f,Ca:2e,Ca:4f,Mn:2e,Mn:2e,Nb:2e,N:4f,N:2e,N:4f,N:4f,N:2e,N:2e"
mp-hamjf,Rb3Li2TaAs3,64,"Rb:8g,Rb:4f,Li:4d,Li:4d,Ta:4d,As:8g,As:4f"
mp-hamjg,Rb3NaFeO4,14,"Rb:4e,Rb:4e,Rb:4e,Na:4e,Fe:4e,O:4e,O:4e,O:4e,O:4e"
mp-hamjh,Sr21Al8Sn6Sb,225,"Sr:8f,Sr:12i,Sr:1a,Al:8f,Sn:6e,Sb:1b"
mp-hamji,Cs8SnGeSe8,11,"Cs:2a,Cs:2d,Cs:2e,Cs:2e,Cs:4f,Cs:4f,Sn:2e,Ge:2e,Se:2e,Se:2e,Se:4f,Se:4f,Se:2e,Se:2e"
mp-hamjj,CsAlCdF6,62,"Cs:4c,Al:4a,Cd:4c,F:8d,F:8d,F:4c,F:4c"
