new_id	source_set	chunk	orig_id	sublat_id
00000	Ts01	gen_wysc_0000	00068	mp-bbjx_F
00001	Ts01	gen_wysc_0000	00083	mp-bizmh_Cs
00002	Ts01	gen_wysc_0000	00084	mp-bfrqs_S
00003	Ts01	gen_wysc_0000	00175	mp-bnqly_H
00004	Ts01	gen_wysc_0000	00263	mp-bnqly_H
00005	Ts01	gen_wysc_0000	00327	mp-jgn_F
00006	Ts01	gen_wysc_0000	00379	mp-bcssf_O
00007	Ts01	gen_wysc_0000	00390	mp-jgn_F
00008	Ts01	gen_wysc_0000	00512	mp-bsvk_O
00009	Ts01	gen_wysc_0000	00719	mp-mxn_F
00010	Ts01	gen_wysc_0000	00775	mp-bizmh_Cs
00011	Ts01	gen_wysc_0000	00806	mp-mxn_F
00012	Ts01	gen_wysc_0000	00829	mp-bizmh_Cs
00013	Ts01	gen_wysc_0000	00947	mp-mxn_F
00014	Ts01	gen_wysc_0000	00976	mp-bbkq_V
00015	Ts01	gen_wysc_0000	01124	mp-beup_F
00016	Ts01	gen_wysc_0000	01210	mp-mxn_F
00017	Ts01	gen_wysc_0000	01248	mp-bgihr_Cl
00018	Ts01	gen_wysc_0000	01402	mp-bfrqs_S
00019	Ts01	gen_wysc_0000	01512	mp-bizmh_Cs
00020	Ts01	gen_wysc_0000	01593	mp-cgaex_O
00021	Ts01	gen_wysc_0000	01731	mp-bizmh_Cs
00022	Ts01	gen_wysc_0000	01856	mp-tbl_O
00023	Ts01	gen_wysc_0000	01902	mp-tbl_O
00024	Ts01	gen_wysc_0000	01927	mp-bizmh_Cs
00025	Ts01	gen_wysc_0000	02244	mp-bizmh_Cs
00026	Ts01	gen_wysc_0000	02298	mp-hfo_Tl
00027	Ts01	gen_wysc_0000	02442	mp-bizmh_Cs
00028	Ts01	gen_wysc_0000	02520	mp-mxn_F
00029	Ts01	gen_wysc_0000	02571	mp-cgaex_O
00030	Ts01	gen_wysc_0000	02747	mp-bbjx_F
00031	Ts01	gen_wysc_0000	02775	mp-bkqiq_O
00032	Ts01	gen_wysc_0000	02850	mp-hfo_Tl
00033	Ts01	gen_wysc_0000	03174	mp-bizmh_Cs
00034	Ts01	gen_wysc_0000	03251	mp-brmsj_F
00035	Ts01	gen_wysc_0000	03400	mp-bcssf_O
00036	Ts01	gen_wysc_0000	03603	mp-bfrqs_S
00037	Ts01	gen_wysc_0000	03700	mp-bfrqs_S
00038	Ts01	gen_wysc_0000	03918	mp-cgaex_O
00039	Ts01	gen_wysc_0000	03942	mp-cgaex_O
00040	Ts01	gen_wysc_0000	03962	mp-beup_F
00041	Ts01	gen_wysc_0000	04179	mp-bgihr_Cl
00042	Ts01	gen_wysc_0000	04293	mp-mxn_F
00043	Ts01	gen_wysc_0000	04360	mp-bizmh_Cs
00044	Ts01	gen_wysc_0000	04389	mp-mxn_F
00045	Ts01	gen_wysc_0000	04622	mp-jgn_F
00046	Ts01	gen_wysc_0000	04717	mp-bsvk_O
00047	Ts01	gen_wysc_0000	04835	mp-cgaex_O
00048	Ts01	gen_wysc_0000	04885	mp-brmsj_F
00049	Ts01	gen_wysc_0000	04913	mp-bizmh_Cs
00050	Ts01	gen_wysc_0000	05283	mp-bizmh_Cs
00051	Ts01	gen_wysc_0000	05402	mp-bizmh_Cs
00052	Ts01	gen_wysc_0000	05407	mp-tbl_O
00053	Ts01	gen_wysc_0000	05494	mp-bcssf_O
00054	Ts01	gen_wysc_0000	05735	mp-bbkq_V
00055	Ts01	gen_wysc_0000	05809	mp-bnqly_H
00056	Ts01	gen_wysc_0000	05932	mp-bnqly_H
00057	Ts01	gen_wysc_0000	05957	mp-mxn_F
00058	Ts01	gen_wysc_0000	06007	mp-cgaex_O
00059	Ts01	gen_wysc_0000	06421	mp-bnqly_H
00060	Ts01	gen_wysc_0000	06454	mp-hfo_Tl
00061	Ts01	gen_wysc_0000	06668	mp-bfrqs_S
00062	Ts01	gen_wysc_0000	06924	mp-bizmh_Cs
00063	Ts01	gen_wysc_0000	07041	mp-bizmh_Cs
