Key	S_bandwidth	S_DOS	S_total
mp-cphvh	0.669368960122645	0.7465932922694061	0.9656035346242208
mp-clexy	0.759013504686565	0.703644034829441	0.9748287883040452
mp-ctjlx	0.942615655666228	0.7966139996434071	0.9969378049783544
mp-cqd	0.6747766877103031	0.8819233332513241	0.9857534997137352
mp-bftgj	0.968640994745946	0.917234411853419	0.9995101743368886
mp-bqxkm	0.647020162616151	0.8069353225750681	0.9719703212731312
mp-bmkxz	0.855031245528961	0.8492902976334981	0.9960185392976652
mp-pmw	0.739039396794094	0.9378158027145	0.9944584717674244
mp-bqdh	0.800628661885863	0.8737953951525931	0.9947869092792468
mp-gjk	0.6085605721648251	0.8314557835678861	0.9676077684959512
mp-crbnm	0.8047959463706431	0.7428790459951701	0.9860691702992525
mp-bfqwv	0.8294760311668571	0.681214698320437	0.981110384228828
mp-clhjk	0.8802029828000151	0.814139302054222	0.995610598097044
mp-cnhxk	0.7964284100805291	0.8798072654748311	0.9948460097826928
mp-bjpmx	0.777131739368347	0.841380647678544	0.9918263387270176
mp-cljid	0.83222405618391	0.825659247189059	0.9940945071802446
mp-cpmmb	0.9554859200764372	0.943231469839452	0.999623760604868
mp-bcuap	0.979111396014946	0.674612661423407	0.9924044269462182
mp-birr	0.7549712517076771	0.613249077073412	0.9522129860440364
mp-qnr	0.6146851370799711	0.8491491710730831	0.9719986580019292
mp-bpxq	0.96697759828755	0.690631993158627	0.9929160154529552
mp-bphxp	0.7417939742875801	0.8037214453283611	0.985848996135249
mp-bpieg	0.8634072327434511	0.837334957403395	0.9958851320753088
mp-bkoup	0.9673508318659392	0.881020641330699	0.9991065639805214
mp-clext	0.8644843137107051	0.826103649789763	0.995497826853608
mp-bevqv	0.88054282447119	0.760502054957911	0.9929973328941182
mp-knz	0.6314314116494051	0.7825388729571641	0.963859579916401
mp-bbua	0.823927017282937	0.7474485013843961	0.9882436529388396
mp-clexk	0.830655932661826	0.7673341362650791	0.9904224294666272
mp-bfvt	0.820724815784578	0.8561543971159831	0.9949431986650664
mp-cljtz	0.8456934844776041	0.83247205300518	0.99501069801024
mp-bosv	0.68940507443801	0.8285010395611151	0.982149568935537
mp-bfrzd	0.7500000000000001	0.79157346066441	0.9855082495823536
mp-jlt	0.6075381185085581	0.7992336264707731	0.9610067170236036
mp-bfste	0.9492438932495452	0.833634440709703	0.9980438844031604
mp-clfgx	0.897948173340507	0.789499555226704	0.9952587638700936
mp-daygu	0.911766298814212	0.855055115178297	0.9977594889575097
mp-cqqlo	0.693757793226055	0.933719955721324	0.9913777103251624
mp-bghrx	0.6243449435824271	0.8151674942171231	0.9684321393236844
mp-bqsf	0.9048160389730572	0.6842397859514431	0.9886480524380208
mp-cpmmc	0.799791234222823	0.940287273005084	0.9969740622985344
mp-biye	0.709567591390306	0.7456014934132721	0.973641069037263
mp-bfspu	0.952190340694566	0.713288388583265	0.993651628856562
mp-cqrnl	0.950840822543023	0.623877343934616	0.9855742623142976
mp-bgkmw	0.55798867240448	0.845956958310736	0.9561243402486008
mp-mxj	0.6742860236609071	0.8541455339656121	0.982942858174018
mp-beds	0.9865492554910632	0.8178171909627221	0.9983767620084733
mp-brtp	0.583900593860852	0.892109825089563	0.9718109394725428
mp-bsekm	0.593176281613449	0.8148836701699441	0.9602670799380032
