Key	S_bandwidth	S_DOS	S_total
mp-meb	0.969726808351776	0.0	0.1794978861531525
mp-cfako	-1.0	0.411893146944005	0.0
mp-bdis	-1.0	0.7280165395916941	0.0
mp-cgkhg	-1.0	0.688217346640927	0.0
mp-chguk	-1.0	0.7422332332666931	0.0
mp-cpdxx	-1.0	0.645510733599832	0.0
mp-ors	-1.0	0.6376776995742971	0.0
mp-ft	-1.0	0.663829780275632	0.0
mp-bfatt	-1.0	0.5008149306920701	0.0
mp-cjhuz	-1.0	0.529025019726711	0.0
mp-crfua	-1.0	0.625341764282838	0.0
mp-rgl	-1.0	0.561363911799871	0.0
mp-cjbcb	-1.0	0.7774732599873441	0.0
mp-cpsjm	-1.0	0.684542082929502	0.0
mp-bjye	-1.0	0.7000012881756961	0.0
mp-qsc	-1.0	0.655936140635155	0.0
mp-bxgzs	-1.0	0.7908927840016631	0.0
mp-rif	-1.0	0.73074656941296	0.0
mp-cpotg	-1.0	0.911645535671409	0.0
mp-bdayn	-1.0	0.0	0.0
mp-cjjnp	-1.0	0.545159348645867	0.0
mp-bhaey	-1.0	0.595949177169919	0.0
mp-bxggc	-1.0	0.820732849703059	0.0
mp-blqwh	0.039679405868525	0.6404360424444561	0.2099199588811356
mp-bmmdl	0.029029849645605	0.755189307315108	0.2118994336528601
mp-kkf	-1.0	0.235998128460013	0.0
mp-crvoc	0.033775012399692	0.8933517512198791	0.2341186761823858
mp-cfgiw	0.485864716614863	0.712221853463748	0.8698294947042879
mp-cpnwd	-1.0	0.669065648298239	0.0
mp-bryiw	-1.0	0.779496727572026	0.0
mp-cjinw	-1.0	0.7298286480917381	0.0
mp-crezz	-1.0	0.848782423964865	0.0
mp-crqne	-1.0	0.8174747900822801	0.0
mp-crees	-1.0	0.757788426522716	0.0
mp-cjirc	-1.0	0.7511602208011551	0.0
mp-cjlfp	-1.0	0.6752487638548931	0.0
mp-caz	-1.0	0.709961147454725	0.0
mp-bld	-1.0	0.543510039658736	0.0
mp-ckief	-1.0	0.6907623370602071	0.0
mp-bxitb	-1.0	0.662716194652875	0.0
mp-lce	-1.0	0.794775340809412	0.0
mp-cpiwj	-1.0	0.47299700030176	0.0
mp-cjjst	-1.0	0.45936790918382	0.0
mp-bjygl	-1.0	0.760527141821653	0.0
mp-cphvh	0.669368960122645	0.7465932922694061	0.9656035346242208
mp-bggzg	-1.0	0.5994869205633611	0.0
mp-clexy	0.759013504686565	0.703644034829441	0.9748287883040452
mp-cjlrq	-1.0	0.632661428945651	0.0
mp-crkap	-1.0	0.670888028695089	0.0
mp-cpkph	-1.0	0.5132309720966031	0.0
mp-cdsac	-1.0	0.471261980164165	0.0
mp-cgazb	-1.0	0.774631548052468	0.0
mp-bqvtf	0.297588786365328	0.8310954656546691	0.7275539980449566
mp-crqgq	-1.0	0.6252767024129581	0.0
mp-rue	0.6013936476782561	0.745010205950672	0.9454422181480436
mp-ckuvv	-1.0	0.6549764102738721	0.0
mp-cjiwh	-1.0	0.753498738884204	0.0
mp-bqyly	-1.0	0.5160825042045251	0.0
mp-bjbo	0.294720143068936	0.8795646380813761	0.7500640809397502
mp-bfx	-1.0	0.7603990554889131	0.0
mp-bwjod	-1.0	0.780582715434564	0.0
mp-ncf	-1.0	0.732041883900662	0.0
mp-bcqt	0.009053676944087	0.6440152167695931	0.1730147252192656
mp-beko	-1.0	0.60287752455464	0.0
mp-ctjlx	0.942615655666228	0.7966139996434071	0.9969378049783544
mp-ugg	-1.0	0.5631153240575131	0.0
mp-bezt	-1.0	0.8408952106986141	0.0
mp-cjhxa	-1.0	0.681601950861452	0.0
mp-bjld	-1.0	0.902623130585061	0.0
mp-ciyjs	-1.0	0.771149017217515	0.0
mp-cqyip	-1.0	0.910778051832424	0.0
mp-cgivd	-1.0	0.647891747809452	0.0
mp-ckvfq	-1.0	0.7742375708470811	0.0
